,word,adult_definition,kids_definition,adult_word_count,kids_word_count,from_GPT,word_count,similarity
807,palladium,'Chemical element with symbol Pd and atomic number 46 silvery white transition metal.','a chemical element. Palladium is a rare silver-white metal that looks like platinum.',13,13,Palladium is a special shiny silver metal that looks like platinum,11,0.7944718
808,lettuce,'A green leafy vegetable (Lactuca sativa) commonly eaten in salads burgers and tacos.','a plant with large green leaves that are eaten raw especially in salad. There are many types of lettuce.',13,19,Lettuce is a plant with big green leaves you can eat in salad There are many kinds of lettuce,19,0.86745656
809,detestable,'Arousing or meriting strong dislike aversion or intense displeasure.','that deserves to be hated',9,5,That should be disliked,4,0.6721472
810,praseodymium,'Chemical element with symbol Pr and atomic number 59 silvery white lanthanide.','a chemical element. Praseodymium is a soft silver-white metal used in alloys and to colour glass.',12,16,Praseodymium is a soft silvery metal that people use to make other metals stronger and to color glass,18,0.87458277
811,heron,'A long-legged long-necked wading bird of the family Ardeidae.','a large bird with a long neck and long legs that lives near water',9,14,a big bird with a long neck and long legs that lives by water,14,0.9058275
812,scientist,'Expert in at least one area of science who uses the scientific method to do research.','a person who studies or is an expert in one or more of the natural sciences (= for example physics chemistry or biology)',16,23,A person who studies or knows a lot about science like trees rocks or living things,16,0.8178026
813,genocide,'The systematic murder of a certain people or race.','the murder of a large number of people from a particular nation or ethnic group with the aim of destroying that nation or group',9,24,The killing of many people from a certain country or group to try to get rid of them,18,0.8364483
814,adolescence,'Period of human life between childhood and adulthood.','the time in a person’s life when they develop from a child into an adult',8,15,The time when kids grow up to be adults,9,0.79077506
815,shoelace,'A lace used for fastening a shoe.','a long thin piece of material like string that goes through the holes on a shoe and is used to fasten it',7,22,A long thin string goes through the holes on a shoe and ties it,14,0.90679
816,promethium,'Chemical element with symbol Pm and atomic number 61 silvery white radioactive lanthanide.','a chemical element. Promethium is a radioactive metal that was first produced artificially in a nuclear reactor and is found in small amounts in nature.',13,25,Promethium is a metal that gives off tiny bits and was made by people in a special machine but it can also be found in little amounts in nature,29,0.7937523
817,retinue,'A group of servants or attendants.','a group of people who travel with an important person to provide help and support',6,15,A group of people goes with an important person to help,11,0.839514
818,parsley,'A soft bright green biennial herb with the name Petroselinum Crispum from the Apiaceae family. It is being used in European North-American and Middle Eastern cooking.','a plant with curly green leaves that are used in cooking as a herb and to decorate food',26,18,A plant with curly green leaves that people use in cooking and to make food look nice,17,0.8660914
819,chives,'A herbaceous perennial plant with the name allium schoenoprasum part of the allium family; native to Northern Asia Europe and North America. The leaves are used as a herb for cooking.','the long thin leaves of a plant with purple flowers. Chives taste like onions and are used to give extra taste to food.',31,23,Chives are little green leaves that look long and thin They taste like onions and make food taste better with purple flowers,22,0.8622326
820,inhale,'To draw air into the lungs.','to take air smoke gas etc. into your lungs as you breathe',6,12,When you breathe air goes into your lungs,8,0.80623376
821,exhale,'To expel air from the lungs.','to breathe out the air or smoke etc. in your lungs',6,11,To blow air out of your mouth,7,0.770011
822,piano,'A musical instrument which produces sound through the vibrations of strings struck by felt hammers.','a large musical instrument played by pressing the black and white keys on the keyboard. The sound is produced by small hammers hitting the metal strings inside the piano.',15,29,A big music thing you play by pressing black and white keys The sound comes when tiny hammers hit metal strings inside the piano,24,0.8825995
823,clarinet,'A musical instrument in the woodwind family.','a musical instrument of the woodwind group. It is like a pipe in shape and has a reed and a mouthpiece at the top that you blow into.',7,28,It is a musical thing you blow into It looks like a pipe with a special mouthpiece on top,19,0.85536
824,cauliflower,'A variety of the cabbage (Brassica oleracea) of which the cluster of young flower stalks and buds is eaten as a vegetable.','a vegetable with green leaves around a large hard white head of flowers',22,13,A veggie with green leaves around a big hard white flower part,12,0.86838764
825,sufficient,'All that is required needed or appropriate.','enough for a particular purpose; as much as you need',7,10,Just the right amount for what you need,8,0.7723373
826,tuba,'The largest musical instrument of the low-brass family.','a large brass musical instrument that you play by blowing and that produces low notes',8,15,A big music thing you blow to make low sounds,10,0.8055364
827,trombone,'A musical instrument in the brass family.','a large brass musical instrument that you blow into with a sliding tube used to change the note',7,18,A big shiny horn that you blow into and it has a slide to make different sounds,17,0.8351647
828,saxophone,'A conical-bored musical instrument of the woodwind family.','a metal musical instrument that you blow into used especially in jazz and dance music. A saxophone has a reed and belongs to the woodwind family.',8,26,A saxophone is a shiny thing you blow into to make music often in jazz It has a little part called a reed and is a kind of woodwind instrument,30,0.8874119
829,octave,'The interval between one musical note and another with half or double the frequency.','the difference (the interval) between the first and last notes in a series of eight notes on a scale',14,19,The space between the first and last notes in a group of eight notes on a music ladder,18,0.8742487
830,clef,'A symbol used in musical notation that assigns the pitch of notes to lines and spaces on the musical staff.','a symbol at the beginning of a line of printed music (called a stave or staff) that shows the pitch of the notes on it',20,25,A sign at the start of music lines that tells how high or low sounds are,16,0.82656145
831,audio,'Sound that can be heard.','connected with sound that is recorded',5,6,Linked with noise that is saved,6,0.6977713
832,feat,'An action that requires great skills to be performed successfully.','an action or a piece of work that needs skill strength or courage',10,13,A thing you do that needs you to be strong or brave,12,0.78045654
833,protactinium,'Chemical element with symbol Pa and atomic number 91. It is a silvery actinide.','a chemical element. Protactinium is a radioactive metal found naturally when uranium decays .',14,14,Protactinium is a kind of shiny rock that comes from another shiny rock called uranium when it changes,18,0.7891686
834,schizophrenia,'A group of psychiatric problems that can be categorized as a dopamine dysregulation disorder.','a mental illness in which a person becomes unable to link thought emotion and behaviour leading to withdrawal from reality and personal relationships',14,23,A sickness in the mind where someone cant put together thoughts feelings and actions making them stay away from real life and friends,23,0.7905062
835,henry,'The SI unit of inductance with symbol H.','a unit for measuring the inductance in an electric circuit',8,10,It helps to measure how electricity works in a circuit,10,0.7980796
836,siemens,'The SI derived unit of electric conductance with symbol S.','the standard unit for measuring how well an object conducts electricity',10,11,The main way to see how good something lets electricity go through,12,0.7610625
837,sievert,'The SI derived unit that measures the radiation dose absorbed by living tissue where the biological effects possibly produced have been corrected.','a unit for measuring the effect of radiation',22,8,A way to see how much radiation affects things,9,0.75769484
838,harangue,'To give a forceful and lengthy lecture or criticism to another person.','to speak loudly and angrily in a way that criticizes somebody/something or tries to persuade people to do something',12,19,To talk really loud and angry to tell someone they are wrong or to make people do something,18,0.84430724
839,berate,'To give a forceful and lengthy lecture or criticism to another person.','to criticize or speak angrily to somebody because you do not approve of something they have done',12,17,To talk loudly to someone because you are not happy with what they did,14,0.84484136
840,radium,'Chemical element with symbol Ra and atomic number 88 silvery white alkaline earth metal.','a chemical element. Radium is a white radioactive metal used in the treatment of diseases such as cancer.',14,18,Radium is a kind of metal that can help treat sickness like cancer,13,0.81544846
841,jogging,'The practice of running at the pace of a jog for exercise.','the activity of running slowly and steadily as a form of exercise',12,12,The action of jogging which is running slowly for exercise,10,0.8267256
842,sunup,'The ascent of the sun above the eastern horizon in the morning.','the time when the sun rises and day begins',12,9,The time when the sun comes up and the day starts,11,0.849823
843,sundown,'The descent of the sun below the western horizon in the evening.','the time when the sun goes down and night begins',12,10,The time when the sun goes away and night comes,10,0.89764357
844,longing,'A deep and aching desire for someone or something.','a strong feeling of wanting something/somebody',9,6,Really wanting something or someone,5,0.68408746
845,shrapnel,'The metal fragments and debris thrown out by any exploding object.','small pieces of metal that are thrown out with a lot of force when a bomb explodes',11,17,Tiny bits of metal that fly out very fast when a bomb goes boom,14,0.87025434
846,testicle,'The male sex gland that produces sperm and male hormones found in some types of animals.','either of the two organs that produce sperm located in a bag of skin below the penis',16,17,The two little things that make tiny seeds are in a skin bag under the boys body,17,0.7183934
847,pancreas,'An organ in the digestive and endocrine system that serves the functions of exocrine and endocrine.','an organ near the stomach that produces insulin and a liquid that helps the body to digest food',16,18,A part near the tummy that makes something to help with food,12,0.7867198
848,thyroid,'A large endocrine gland present in all vertebrates and located in the neck of humans.','a small organ at the front of the neck that produces hormones that control the way in which the body grows and functions',15,23,A little part in the front of the neck makes special things to help the body grow and work well,20,0.73789763
849,pelvis,'The bony structure found in most vertebrates located at the base of the spine.','the wide curved set of bones at the bottom of the body that the legs and spine are connected to',14,20,The big round bones at the bottom of the body that hold the legs and back,16,0.8787979
850,scrotum,'A bag of skin and muscle containing the testicles.','the bag of skin that contains the testicles in men and most male animals',9,14,It is a skin bag that holds the special parts of male people and animals,15,0.7755566
851,ankle,'A joint formed where the foot and the leg meet.','the joint connecting the foot to the leg; the narrow part of the leg just above the ankle joint',10,19,The ankle is where the foot and leg meet,9,0.8456031
852,uterus,'The major female reproductive organ of most mammals including humans. It is a large muscle enveloping the phoetus during pregnancy.','the organ in women and female animals in which babies or young animals develop before they are born',20,18,The place inside a mothers body where little babies grow before they come out,14,0.81664395
853,womb,'The major female reproductive organ of most mammals including humans. It is a large muscle enveloping the phoetus during pregnancy.','the organ in women and female animals in which babies or young animals develop before they are born',20,18,The place inside a mothers body where babies grow before they come out,13,0.81914943
854,rhenium,'Chemical element with symbol Re and atomic number 75 grayish white transition metal.','a chemical element. Rhenium is a rare silver-white metal that exists naturally in the ores of molybdenum and some other metals.',13,21,Rhenium is a shiny silver metal found in rocks with other metals,12,0.8031557
855,violin,'A musical instrument of the strings family with four strings tuned in perfect fifths.','a musical instrument with strings which you hold under your chin and play with a bow',14,16,A thing that makes music with strings and you hold it under your chin and use a stick to play it,21,0.85589653
856,cello,'A stringed musical instrument and a member of the violin family.','a musical instrument with strings like a large violin in shape. The player sits down and holds the cello between his or her knees.',11,24,A cello is a big instrument with strings like a giant violin You sit and hold it between your knees to play,22,0.8559627
857,violoncello,'A stringed musical instrument and a member of the violin family.','a cello (= a musical instrument with strings like a large violin in shape. The player sits down and holds the cello between his or her knees.)',11,27,A cello is a big musical instrument like a large violin that you play while sitting down holding it between your knees,22,0.86874294
858,guitar,'A fretted and stringed musical instrument.','a musical instrument that usually has six strings and that you play with your fingers or with a plectrum',6,19,A guitar is a thing with six strings that you play with your hands,14,0.8789372
859,lute,'A plucked string instrument with a fretted neck and a deep round back.','an early type of musical instrument with strings played like a guitar',13,12,A very old music thing with strings played like a guitar,11,0.814077
860,balalaika,'A stringed instrument of Russian origin with a characteristic triangular body and three strings.','a musical instrument like a guitar with a body in the shape of a triangle and two three or four strings popular especially in Russia',14,25,A kind of guitar from Russia has a triangle body and two three or four strings,16,0.8991649
861,rhodium,'Chemical element with symbol Rh and atomic number 45 silvery white transition metal.','a chemical element. Rhodium is a hard silver-white metal that is usually found with platinum.',13,15,Rhodium is a hard shiny metal found with platinum,9,0.85293555
862,ersatz,'Something made in imitation; typically of an inferior quality.','artificial and not as good as the real thing or product',9,11,Not real and not as good as the real thing,10,0.7777375
863,locust,'Migratory grasshoppers of the order Orthoptera of warm regions having short antennae.','a large insect that lives in hot countries and sometimes flies in large groups destroying all the plants and crops of an area',12,23,A big bug that lives in hot places and flies in groups eating many plants,15,0.8746686
864,notary,'Someone who can administer oaths and statutory declarations witness and authenticate documents and perform certain other acts varying from jurisdiction to jurisdiction.','a person especially a lawyer with official authority to be a witness when somebody signs a document and to make this document legally acceptable',22,24,A lawyer helps to watch and make sure important papers are signed correctly,13,0.78053766
865,ping,'A packet which a remote host is expected to echo thus indicating its presence.','a short high sound made when a hard object hits something that is made of metal or glass',14,18,A loud ding comes when something hits metal or glass,10,0.8548318
866,neologism,'A word or phrase which has recently been coined.','a new word or expression or a new meaning of a word',9,12,A new word or phrase or a new way a word means,12,0.8784634
867,gallon,'A unit of volume equal to about 3.79 litres in the United States and 4.55 litres in the United Kingdom.','a unit for measuring liquid. In the UK Canada and other countries it is equal to about 4.5 litres; in the US it is equal to about 3.8 litres. There are four quarts in a gallon.',20,36,A gallon is a way to measure liquid In some places its about 45 liters and in the US its about 38 liters Four quarts make one gallon,28,0.9076672
868,lawyer,'A professional person who advises or represents others in legal matters as a profession.','a person who is trained and qualified to advise people about the law and to represent them in court and to write legal documents',14,24,A person who knows a lot about laws helps people with law problems speaks for them in court and writes important papers,22,0.8318598
869,algebra,'A branch of mathematics concerning the study of structure relation and quantity.','a type of mathematics in which letters and symbols are used to represent quantities',12,14,In math we use letters and signs instead of numbers,10,0.80343187
870,roentgenium,'Chemical element with symbol Rg and atomic number 111 transition metal.','a chemical element. Roentgenium is a radioactive element that is produced artificially and has no known use.',11,17,Roentgenium is a type of pretend metal that people make and it doesnt do anything special,16,0.7074039
871,liquorice,'A usually black sweet made of an extract of licorice.','a black substance with a strong taste obtained from the root of a plant used in medicine and to make sweets; a sweet made from this substance',10,27,A black stuff with a strong taste from a plants root used for medicine and to make candy a candy made from this stuff,24,0.8617006
872,trigonometry,'A branch of mathematics dealing with the purely arithmetic relations between specific geometric characteristics of right angled triangles.','the type of mathematics that deals with the relationship between the sides and angles of triangles',18,16,This kind of math helps us know about the sides and corners of triangles,14,0.8410753
873,cinematography,'The discipline of making lighting and camera choices when recording photographic images for the cinema.','the art or process of making films especially the photography and camerawork',15,12,Making movies like taking pictures with a camera,8,0.7281451
874,journalism,'The discipline of collecting analyzing verifying and presenting news regarding current events trends issues and people.','the work of collecting and writing news stories for newspapers magazines radio television or online news sites; the news stories that are written',16,23,Journalists gather and write stories for newspapers TV or websites,10,0.7917827
875,nazism,'The ideology of the German Nazi Party under Adolf Hitler.','the policies and beliefs of the National Socialist party which controlled Germany from 1933 to 1945 ',10,17,The rules and ideas of the group that ran Germany a long time ago,14,0.72094727
876,lexicology,'A speciality in linguistics dealing with the study of the lexicon i.e. the words and phrases in a language.','the study of the form meaning and behaviour of words',19,10,The meaning and how words act,6,0.7794231
877,divot,'A torn up piece of turf.','a piece of grass and earth that is dug out by accident for example by a club when somebody is playing golf; the small hole in the earth that is made',6,31,A little hole in the ground made when playing with a stick like in golf,15,0.8548413
878,fatalism,'The doctrine that all things are subject to fate or that they take place by inevitable necessity.','the belief that events are decided by fate and that you cannot control them; the fact of accepting that you cannot prevent something from happening',17,25,The idea that things happen because of destiny and you cant change them knowing you cant stop certain things from happening,21,0.8746723
879,ruthenium,'Chemical element with symbol Ru and atomic number 44 silvery white transition metal.','a chemical element. Ruthenium is a hard silver-white metal that breaks easily and is found in platinum ores.',13,18,Ruthenium is a tough silver metal that can break easily and is found with platinum,15,0.8860899
880,hardboard,'Building material of boards of pressed fibres.','a type of stiff board made by pressing very small pieces of wood together into thin sheets',7,17,A hard piece made by squishing tiny wood bits together into flat parts,13,0.8516686
881,dachshund,'A breed of dog having short legs and a long trunk.','a small dog with a long body long ears and very short legs',11,13,A little dog has a long body long ears and short legs,12,0.8824622
882,symphony,'An extended composition usually for orchestra and usually comprising four movements.','a long complicated piece of music for a large orchestra in three or four main parts (called movements)',11,18,A long music piece for a big group of players with three or four main parts,16,0.89081
883,totalitarianism,'A form of government which regulates nearly every aspect of public and private behavior.','the principles and practices of a political system in which there is only one party which has complete power and control over the people',14,24,A system where one group has all the power over people,11,0.7961293
885,matriarchy,'A form of society in which power is with the women and especially with the mothers of a community.','a social system that gives power and authority to women rather than men',19,13,A way of living where women have more power than men,11,0.84159464
886,patriarchy,'The sociological condition where fathers have supreme authority within families and male members of a society tend to predominate in positions of power.','a society system or country that is ruled or controlled by men',23,12,A land where men are in charge,7,0.77152777
887,reticent,Keeping one's thoughts and opinions to oneself.,'unwilling to tell people about things',7,6,not wanting to tell others about things,7,0.87314266
888,reserved,Keeping one's thoughts and opinions to oneself.,'slow or unwilling to show feelings or express opinions',7,9,Not quick to show feelings or tell what they think,10,0.8439223
889,poplar,'Any of various deciduous trees of the genus Populus.','a tall straight tree with soft wood',9,7,a big straight tree with soft wood,7,0.8361188
890,rutherfordium,'Chemical element with symbol Rf and atomic number 104 assumedly a grey or silvery transition metal.','a chemical element. Rutherfordium is radioactive and does not exist in nature but is produced artificially when atoms crash into each other.',16,22,Rutherfordium is a kind of stuff that can make things glow It is not found in nature but is made when tiny parts bump into each other,27,0.81669146
891,trait,'Characteristic quality of a being or thing.','a particular quality in your personality',7,6,A special thing about who you are,7,0.7105626
892,bestow,'To apply a quality on (a person).','to give something to somebody especially to show how much they are respected',7,13,To give a thing to someone to show they are thought of as great,14,0.86161214
893,handbag,'A object used for carrying money and small personal items or accessories (especially by women).','a small bag for money keys etc. especially one carried by a woman',15,13,A little bag for money and keys often carried by a woman,12,0.8650919
894,rampart,'An embankment built around a space for defensive purposes.','a high wide wall of stone or earth with a path on top built around a castle town etc. to defend it',9,22,A tall and wide wall of stone or dirt with a path on top is built around a castle to keep it safe,23,0.8812133
895,rafter,'One of several parallel sloping beams that extend from the ridge to the wall-plate to support the roof and its associated loads; the sloping top member of a roof truss which carries the purlins.','one of the sloping pieces of wood that support a roof',34,11,A sloping piece of wood that helps hold up a house roof,12,0.79284513
896,translator,'A person who translates written text from one language to another.','a person who translates writing or speech into a different language especially as a job',11,15,A person who changes words in one language into another language for work,13,0.89176136
897,substructure,'The lowest support of a structure.','a base or structure that is below another structure and that supports it',6,13,A base that is under another thing and holds it up,11,0.808596
898,handbasket,'A lightweight container generally round open at the top and tapering toward the bottom.','to get into a very bad state',14,7,To be in a very bad way,7,0.7296733
899,samarium,'Chemical element with symbol Sm and atomic number 62 silvery white lanthanide.','a chemical element. Samarium is a hard silver-white metal used in making strong magnets.',12,14,Samarium is a silver metal used to make strong magnets,10,0.88404095
900,comport,'Act in a polite or proper way.','to behave in a particular way',7,6,to act in a special way,6,0.7944727
901,hindquarters,'The fleshy part of the human body that one sits on.','the back part of an animal that has four legs including its two back legs',11,15,The back legs and tail of an animal with four legs,11,0.8718905
902,keister,'The fleshy part of the human body that one sits on.','the part of the body that you sit on',11,9,The part of your body you sit on,8,0.87161624
903,tush,'The fleshy part of the human body that one sits on.','the part of the body that you sit on',11,9,The place on your body that you sit on,9,0.8433608
904,doorbell,'A push button at an outer door that gives a ringing or buzzing signal when pushed.','a bell with a button outside a house that you push to let the people inside know that you are there',16,21,A bell you push to tell people in the house that you are there,14,0.89507437
905,agnosticism,'The view that the existence of any god is unknown at present.','the belief that it is not possible to know whether God exists or not',12,14,The thought that people cannot know if God is real or not,12,0.89735335
906,shuttlecock,'Badminton equipment consisting of a ball of cork or rubber with a crown of feathers.','the object that players hit backwards and forwards in the game of badminton',15,13,The thing people hit back and forth in badminton,9,0.791926
907,morsel,'A small amount of solid food; a mouthful.','a small amount or a piece of something especially food',8,10,A little bit of something like food,7,0.7555152
908,occlusion,'An obstruction in a pipe or tube.','the state of being covered or blocked',7,7,Being covered or blocked,4,0.7697959
909,impede,'To render passage impossible by physical obstruction.','to delay or stop the progress of something',7,8,To slow down or stop something from moving forward,9,0.7495332
910,occlude,'To render passage impossible by physical obstruction.','to cover or block something',7,5,To put something on or in front of something,9,0.6956651
911,lineage,'The descendants of one individual.','the series of families that somebody comes from originally',5,9,A group of families a person is from,8,0.7298032
912,bloodline,'The descendants of one individual.','the set of ancestors of a person or an animal',5,10,The animals and people that came before someone,8,0.7027186
913,ancestry,A line of ancestors coming down to one's parents.,'the family or the group of people that you come from',9,11,The people you come from,5,0.787096
914,parentage,'The descendants of one individual.','the origin of a person’s parents and who they are',5,10,Where a childs mother and father come from,8,0.67934734
915,fellate,'To provide sexual gratification to a man through oral stimulation.','to perform fellatio on a man',10,6,to do something grownup that a man might want,9,0.6264386
916,azure,'The colour of the clear sky or the deep sea between green and violet in the visible spectrum and one of the primary additive colours for transmitted light; the colour obtained by subtracting red and green from white light using magenta and cyan filters.','bright blue in colour like the sky',44,7,It is bright blue like the sky,7,0.8288021
917,sky-blue,'The colour of the clear sky or the deep sea between green and violet in the visible spectrum and one of the primary additive colours for transmitted light; the colour obtained by subtracting red and green from white light using magenta and cyan filters.','a bright blue colour like the colour of the sky on a clear day',44,14,A color like the sky on a sunny day,9,0.8633241
918,dumbfounded,'As if struck dumb with astonishment and surprise.','unable to speak because of surprise',8,6,Too surprised to talk,4,0.7350259
919,scandium,'Chemical element with symbol Sc and atomic number 21. It is a silvery white transition metal.','a chemical element. Scandium is a silver-white metal found in various minerals.',16,12,Scandium is a shiny white metal that people find in different rocks,12,0.76765335
920,cormorant,'Medium sized black water bird from the family of the cormorants (Phalacrocoracidae) scientific name: Phalacrocorax carbo','a large black bird with a long neck that lives near the sea or other areas of water',16,18,A big black bird with a long neck that lives by the sea or water,15,0.9177625
921,cavalcade,'A procession of people traveling on horseback.','a line of people on horses or in vehicles forming part of a ceremony',7,14,A group of people riding horses or in cars for a special event,13,0.82424027
922,harpoon,'A spearlike weapon with a barbed head used in hunting whales and large fish.','a weapon like a spear attached to a long rope that you can throw or fire from a gun and is used for catching large fish whales etc.',14,28,A big stick with a rope used to catch big fish whales and more,14,0.8284513
923,fridge,'A household appliance used for keeping food fresh by refrigeration.','a piece of electrical equipment in which food is kept cold so that it stays fresh',10,16,A thing where food is kept cold to stay good,10,0.8381554
924,freezer,'A refrigerator in which food is frozen and stored for long periods of time.','a large piece of electrical equipment in which you can store food for a long time at a low temperature so that it stays frozen',14,25,A big machine where you keep food very cold so it stays frozen for a long time,17,0.86311185
925,bric-a-brac,'Miscellaneous small ornamental objects which may be of sentimental value but have little monetary value.','ornaments and other small attractive objects of little value',15,9,Pretty little things that dont cost much,7,0.628493
926,broccoli,'A vegetable; of this variety of the Brassica oleracea the green flowers and their stalk is eaten.','a vegetable with a thick green stem and several dark green or purple flower heads',17,15,A plant with a thick green stick and many dark green or purple tops,14,0.89234173
927,rummage,'Old useless and valueless objects.','to move things around carelessly while searching for something',5,9,To look for something and make a mess,8,0.7278229
928,seaborgium,'Chemical element with symbol Sg and atomic number 106 probably a silvery\white or gray transition metal.','a radioactive chemical element. Seaborgium is produced when atoms crash into each other.',16,13,Seaborgium is made when tiny pieces crash into each other,10,0.77026117
929,vitriolic,'Being harsh or corrosive in tone.','full of anger and hate',6,5,Full of mad and bad feelings,6,0.77801394
930,homicide,'The intentional or premeditated killing of another person.','the act of killing another person especially when it is a crime',8,12,Killing someone when it is a bad thing,8,0.8399539
931,logo,'A symbol or emblem that acts as a means of identification.','a printed design or symbol that a company or an organization uses as its special sign',11,16,A picture or symbol that a company uses as its special sign,12,0.90970254
932,algorithm,'Any well-defined procedure describing how to carry out a particular task.','a set of rules that must be followed when solving a particular problem',11,13,Rules you must follow to solve a problem,8,0.767197
933,canticle,'A hymn (excluding the Psalms) taken from the Bible.','a religious song with words taken from the Bible',9,9,A song about God with words from the Bible,9,0.89533174
934,pastor,'The head minister or priest of a Christian church.','a minister in charge of a Christian church or group especially in some Nonconformist churches',9,15,A minister is a person who takes care of a Christian church or group,14,0.8099308
935,tantalum,'Chemical element with symbol Ta and atomic number 73 grey blue transition metal.','a chemical element. Tantalum is a hard silver-grey metal used in the production of electronic parts and of metal plates and pins for connecting broken bones.',13,26,Tantalum is a tough shiny grey metal used to make electronic parts and help fix broken bones,17,0.88451177
936,pharaoh,'The supreme ruler of ancient Egypt.','a political leader of ancient Egypt',6,6,A leader from old Egypt,5,0.8001987
937,sphinx,'A mythical creature with the head of a human and the body of a lion.','an ancient Egyptian stone statue of a creature with a human head and the body of a lion lying down. In ancient Greek stories the Sphinx spoke in riddles.',15,29,A very old Egyptian statue looks like a creature with a persons head and a lions body resting In old Greek stories the Sphinx talked in puzzles,27,0.8470697
938,almond,'Fruit of the almond tree (Prunus dulcis).','the flat pale sweet nut of the almond tree used in cooking and to make almond oil',7,17,The soft white nut from the almond tree is good for cooking and making almond oil,16,0.8997925
939,teakettle,'A metal container used for boiling water for tea.','a metal container with a lid handle and a spout used for boiling water',9,14,A metal pot with a handle and a spout used to boil water,13,0.8662447
940,introspection,The process of self-observation of one's thoughts and feelings.,'the careful examination of your own thoughts feelings and reasons for behaving in a particular way',9,16,Think about why you feel and act a certain way,10,0.7565633
941,judiciary,'The court system and judges considered collectively the judicial branch of government.','the judges of a country or a state when they are considered as a group',12,15,The judges in a place all together,7,0.6410333
942,confiscate,'To take possession of by force or authority.','to officially take something away from somebody especially as a punishment',8,11,To take away something from someone like when they do something bad,12,0.7414578
943,iconoclast,'Someone who opposes orthodoxy and religion.','a person who criticizes popular beliefs or established customs and ideas',6,11,A person who says that common ideas or old rules might be wrong,13,0.8361349
944,ambulance,'Vehicle used to bring the sick or injured to a hospital.','a vehicle with special equipment used for taking sick or injured people to a hospital',11,15,A car that helps take hurt or sick people to the hospital,12,0.8343029
945,technetium,'Chemical element with symbol Tc and atomic number 43. It is a synthetic radioactive transition metal.','a chemical element. Technetium is found naturally as a product of uranium or made artificially from molybdenum.',16,17,Technetium is a special thing It is found when uranium changes or made from molybdenum,15,0.84724474
946,anchorite,'A person who lives alone and in seclusion.','(in the past) a religious person who lived alone and avoided other people',8,13,A person who lived alone a long time ago and stayed away from others,14,0.75760853
947,acrobat,'An athlete who performs acts requiring skill agility and coordination.','a person who performs difficult acts such as balancing on high ropes especially at a circus',10,16,A person who does hard tricks like walking on high ropes usually at a circus,15,0.88450766
948,renege,'To break a promise or commitment.','to break a promise an agreement etc.',6,7,To not do a thing you said you would,9,0.63676393
949,terbium,'Chemical element with symbol Tb and atomic number 65 silvery white lanthanide.','a chemical element. Terbium is a silver-white metal used in lasers X-rays and television tubes.',12,15,Terbium is a shiny silver metal kids might see in TVs and lasers,13,0.8191313
950,abbess,'A female superior or governess of a nunnery or convent of nuns having the same authority over the nuns which the abbots have over the monks.','a woman who is the head of an abbey of nuns',26,11,A woman in charge of a house of nuns,9,0.8494424
951,foresee,'To think of ahead of time.','to think something is going to happen in the future; to know about something before it happens',6,17,To know what might happen next to tell about things before they come,13,0.82855153
952,rondo,'A musical composition commonly of a lively cheerful character in which the first strain recurs after each of the other strains.','a piece of music in which the main tune is repeated several times sometimes forming part of a longer piece',21,20,A song where the main tune is played many times and can be part of a long song,18,0.8661717
953,minaret,'A tall graceful spire with onion-shaped crowns distinctive to Islamic mosques.','a tall thin tower usually forming part of a mosque from which Muslims are called to prayer',11,17,A tall thin tower where people call others to come and pray,12,0.76576674
954,duet,'A piece of music written for two musicians.','a performance by two singers or musicians; a piece of music for two singers or players',8,16,A show by two singers or musicians a song or music for two people,14,0.88039994
955,thorium,'Chemical element with symbol Th and atomic number 90. It is a silvery white actinide.','a chemical element. Thorium is a white radioactive metal used as a source of nuclear energy.',15,16,Thorium is a white metal that gives energy,8,0.7864357
956,abhorrence,'Extreme hatred or detestation; the feeling of utter dislike.','a strong feeling of hating somebody/something especially for moral reasons',9,10,Disliking someone or something very much especially for doing bad things,11,0.7380128
957,marionette,'A string puppet usually made of wood which is animated by the pulling of strings.','a puppet whose arms legs and head are moved by strings',15,11,A puppet with strings to move its arms legs and head,11,0.82857555
958,abscess,'A cavity caused by tissue destruction usually because of infection filled with pus and surrounded by inflammed tissue.','a swollen (= larger than normal) and painful area on your skin or in your body full of a thick yellow liquid (called pus)',18,24,A big sore bump on your skin or in your body full of thick yucky stuff,16,0.82196814
959,absentee,'One who absents himself from his country office post or duty.','a person who is not at a place where they were expected to be',11,14,Someone who is not where they should be,8,0.7782183
960,absent-minded,'Inattentive to what is passing.','tending to forget things perhaps because you are not thinking about what is around you but about something else',5,19,Sometimes you forget things because you are thinking about something else,11,0.83594036
961,medieval,'Of or pertaining to the Middle Ages.','connected with the Middle Ages (about AD\u20091000 to AD\u20091450)',7,9,linked to a long time ago from AD 1000 to AD 1450,12,0.72957337
962,meteorite,A meteorite is an extraterrestrial body that survives its impact with a planet's surface without being destroyed.,'a piece of rock from outer space that hits the earth’s surface',17,12,A rock from space that hits the ground,8,0.82945985
963,meteor,A streak of light in the sky at night that results when a meteoroid hits the earth's atmosphere.,'a piece of rock from outer space that makes a bright line across the night sky as it burns up while falling through the earth’s atmosphere',18,26,A small rock from space makes a bright line in the night sky when it burns as it falls to Earth,21,0.87153584
964,stadium,'A large structure for open-air sports or entertainments.','a large sports ground surrounded by rows of seats and usually other buildings',8,13,A big playground with many seats around it and buildings nearby,11,0.73904705
